period,topic_id,keywords,count_lowi,count_uvnl,n_lowi,n_uvnl,freq_lowi,freq_uvnl,G,p,log2_odds_ratio,preferred,p_bonferroni,significant
2020-2024,11,"the, boek, plagiaat, 2014, passages",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,12,"the, beklaagden, toetsingscommissie, that, organisatie",0,2,90,68,0.0,0.029411764705882353,0.6867768230356783,0.4072628711435796,-2.766491546469378,uvnl,1.0,False
2020-2024,13,"beklaagden, 2018, databases, bijlage, radboud",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,14,"betrokkene, verzoeker, verzoekers, redactie, universiteit leiden",7,0,90,68,0.07777777777777778,0.0,3.7147622465922927,0.05393330523460699,3.621218386094993,lowi,1.0,False
2020-2024,15,"onderzoeker, leerstoelhouder, opdrachtgever, verzoeker, betrokkene",6,0,90,68,0.06666666666666667,0.0,2.8206221595174443,0.09306032555507637,3.3975923648194346,lowi,1.0,False
2020-2024,16,"the, beklaagden, and, to, the committee",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,17,"klaagster, 2013, klagers, auteurs, 2012",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,18,"universiteit leiden, begrip, regeling, college, open brief",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,19,"belanghebbende, verzoeker, belanghebbenden, klachtonderdeel, paper",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,20,"verzoeker, 2016, 2017, taal, december 2016",1,0,90,68,0.011111111111111112,0.0,0.0,1.0,1.1991788064174265,lowi,1.0,False
2020-2024,21,"verzoeker, erasmus, mc, erasmus mc, betrokkene",5,0,90,68,0.05555555555555555,0.0,1.985139864096529,0.15884997834772052,3.1396111867119263,lowi,1.0,False
2020-2024,22,"verzoeker, deskundige, 2014, proefschrift, werk klager",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,23,"2013, college, college bestuur, manuscript, dr",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,24,"college, betrokkene, college bestuur, tilburg, tilburg university",3,1,90,68,0.03333333333333333,0.014705882352941176,0.020680485830893325,0.8856527856783459,0.8479969065549501,lowi,1.0,False
2020-2024,25,"verzoeker, rivm, buitenlandse, betrokkene, factsheet",6,0,90,68,0.06666666666666667,0.0,2.8206221595174443,0.09306032555507637,3.3975923648194346,lowi,1.0,False
2020-2024,26,"the, to, and, his, on",0,0,90,68,0.0,0.0,0.0,1.0,-0.40181380412267875,uvnl,1.0,False
2020-2024,27,"knaw, verzoeker, betrokkene, druk, bestuur knaw",4,0,90,68,0.044444444444444446,0.0,1.2277431238358412,0.2678463961187989,2.833328856766115,lowi,1.0,False
2025+,0,"the, to, and, that, complainant",0,12,17,12,0.0,1.0,27.39008681437866,1.6628145445854302e-07,-9.77313920671969,uvnl,4.655880724839204e-06,True
2025+,1,"verzoeker, 2018, belanghebbende, verzoekers, betrokkene",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,2,"2014, plagiaat, 2012, 2013, klacht klager",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,3,"betrokkene, verzoeker, verweerder, maastricht, 2020",4,0,17,12,0.23529411764705882,0.0,1.2714607114574854,0.25949283021079633,3.0588936890535683,lowi,1.0,False
2025+,4,"verzoeker, belanghebbende, 2015, belanghebbenden, 2016",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,5,"betrokkene, verzoeker, proefschrift, verzoekers, betoogt",3,0,17,12,0.17647058823529413,0.0,0.5705338066112562,0.45004687380988695,2.5932301167047567,lowi,1.0,False
2025+,6,"betrokkene, verzoeker, verzoekers, utrecht, metc",3,0,17,12,0.17647058823529413,0.0,0.5705338066112562,0.45004687380988695,2.5932301167047567,lowi,1.0,False
2025+,7,"dr, 2011, prof dr, 2008, verweerder",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,8,"verzoeker, 2018, belanghebbende, betrokkene, promovendus",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
2025+,9,"beklaagden, tu, klachtonderdeel, cvb, tabel",0,0,17,12,0.0,0.0,0.0,1.0,-0.4854268271702417,uvnl,1.0,False
